 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
282,Image_14482-1.jpg (red),11.708,14.368,0.713,6.126,946,434,28.301,3.222,2.152,0.465,0.829
283,Image_14482-1.jpg (red),42.527,29.365,0.620,9.278,580,427,116.565,6.890,1.183,0.846,0.862
284,Image_14482-1.jpg (red),21.349,20.035,0.668,7.718,1096,428,126.254,4.954,1.861,0.537,0.800
285,Image_14482-1.jpg (red),18.595,18.476,0.685,7.718,815,429,126.254,3.591,2.485,0.402,0.847
286,Image_14482-1.jpg (red),11.536,13.052,0.851,4.731,956,436,15.255,3.683,1.285,0.778,0.854
287,Image_14482-1.jpg (red),12.569,13.882,0.820,5.410,677,440,32.471,3.452,1.734,0.577,0.859
288,Image_14482-1.jpg (red),56.645,30.052,0.788,10.579,693,446,25.560,8.295,1.130,0.885,0.887
289,Image_14482-1.jpg (red),12.224,14.611,0.720,5.644,1130,430,107.103,3.220,1.867,0.536,0.850
290,Image_14482-1.jpg (red),23.071,22.483,0.574,9.993,986,432,138.366,3.547,3.260,0.307,0.802
291,Image_14482-1.jpg (red),43.904,30.052,0.611,11.211,781,437,141.009,6.166,2.093,0.478,0.791
292,Image_14482-1.jpg (red),53.374,34.261,0.571,10.497,905,458,71.565,8.603,1.191,0.839,0.807
293,Image_14482-1.jpg (red),84.537,37.882,0.740,14.205,1008,450,6.710,9.437,1.319,0.758,0.874
294,Image_14482-1.jpg (red),13.430,14.368,0.817,5.249,962,439,161.565,4.149,1.180,0.847,0.830
295,Image_14482-1.jpg (red),29.442,21.108,0.830,8.057,528,437,124.509,5.381,1.362,0.734,0.907
296,Image_14482-1.jpg (red),48.381,34.990,0.497,11.394,1065,464,79.509,6.514,1.979,0.505,0.809
297,Image_14482-1.jpg (red),21.522,20.379,0.651,7.258,1147,441,149.036,4.636,1.435,0.697,0.828
298,Image_14482-1.jpg (red),10.158,14.368,0.618,4.488,921,439,123.690,3.521,1.230,0.813,0.861
299,Image_14482-1.jpg (red),34.090,24.042,0.741,9.325,1118,441,122.276,5.642,1.817,0.550,0.865
300,Image_14482-1.jpg (red),20.661,18.031,0.799,7.139,889,444,125.538,4.694,1.530,0.654,0.882
301,Image_14482-1.jpg (red),27.720,20.278,0.847,6.906,976,459,57.265,6.099,1.070,0.935,0.877
302,Image_14482-1.jpg (red),95.384,40.271,0.739,14.664,1082,464,25.115,9.631,1.646,0.608,0.884
303,Image_14482-1.jpg (red),28.925,23.598,0.653,8.402,484,447,147.095,5.661,1.351,0.740,0.844
304,Image_14482-1.jpg (red),19.800,20.035,0.620,7.617,509,445,150.642,4.695,1.792,0.558,0.796
305,Image_14482-1.jpg (red),34.435,24.285,0.734,8.554,739,465,67.166,6.639,1.385,0.722,0.842
306,Image_14482-1.jpg (red),27.548,20.622,0.814,7.054,819,460,61.928,6.141,1.134,0.882,0.865
307,Image_14482-1.jpg (red),39.428,28.837,0.596,11.507,674,446,115.641,5.643,2.547,0.393,0.808
308,Image_14482-1.jpg (red),63.015,33.087,0.723,11.025,576,465,19.799,8.295,1.190,0.840,0.847
309,Image_14482-1.jpg (red),71.624,36.650,0.670,11.626,956,475,55.176,9.499,1.355,0.738,0.853
310,Image_14482-1.jpg (red),35.296,24.486,0.740,8.392,760,472,81.469,6.513,1.185,0.844,0.854
311,Image_14482-1.jpg (red),42.699,27.077,0.732,9.766,467,454,102.265,6.790,1.327,0.753,0.844
312,Image_14482-1.jpg (red),23.932,21.209,0.669,8.173,625,454,113.962,4.564,1.769,0.565,0.885
313,Image_14482-1.jpg (red),17.045,15.198,0.927,5.779,696,468,68.962,4.149,1.280,0.781,0.921
314,Image_14482-1.jpg (red),32.713,22.240,0.831,8.014,715,455,111.251,5.868,1.481,0.675,0.872
315,Image_14482-1.jpg (red),31.680,25.073,0.633,10.273,907,472,43.363,4.968,2.349,0.426,0.807
316,Image_14482-1.jpg (red),17.562,16.615,0.799,6.482,1045,455,129.806,4.066,1.757,0.569,0.857
317,Image_14482-1.jpg (red),61.466,33.330,0.695,12.288,412,456,101.689,8.299,1.474,0.678,0.878
318,Image_14482-1.jpg (red),135.845,53.424,0.598,16.230,528,479,175.601,13.161,1.129,0.886,0.819
319,Image_14482-1.jpg (red),15.840,15.299,0.850,5.249,828,461,161.565,4.694,1.065,0.939,0.844
