 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
731,Image_14119-3.tif,109.755,46.521,0.637,18.027,140,602,58.134,8.866,1.924,0.52,0.896
732,Image_14119-3.tif,10.273,14.086,0.651,5.567,754,566,131.987,3.331,1.816,0.551,0.774
733,Image_14119-3.tif,30.82,26.299,0.56,10.862,234,573,17.745,3.724,3.401,0.294,0.902
734,Image_14119-3.tif,10.273,18.667,0.37,6.736,283,565,100.62,3.917,2.172,0.46,0.556
735,Image_14119-3.tif,11.472,13.844,0.752,4.718,596,569,142.125,4.071,1.035,0.966,0.848
736,Image_14119-3.tif,10.616,13.501,0.732,5.881,500,567,129.289,2.926,2.144,0.467,0.832
737,Image_14119-3.tif,18.321,17.255,0.773,6.424,15,571,165.069,4.918,1.291,0.774,0.846
738,Image_14119-3.tif,10.445,13.501,0.72,5.628,85,569,143.973,3.219,1.894,0.528,0.841
739,Image_14119-3.tif,41.779,27.144,0.713,9.81,325,591,62.354,6.306,1.346,0.743,0.867
740,Image_14119-3.tif,15.41,18.082,0.592,6.936,399,570,107.354,3.739,2.158,0.463,0.773
741,Image_14119-3.tif,21.917,26.96,0.379,10.22,679,573,148.241,3.937,3.357,0.298,0.688
742,Image_14119-3.tif,12.671,13.743,0.843,4.718,701,574,142.125,4.138,1.019,0.982,0.86
743,Image_14119-3.tif,13.184,14.128,0.83,5.299,530,571,128.66,4.138,1.083,0.924,0.895
744,Image_14119-3.tif,13.527,16.368,0.634,7.332,293,572,163.61,2.483,2.961,0.338,0.893
745,Image_14119-3.tif,28.081,21.534,0.761,7.807,482,574,122.005,5.234,1.497,0.668,0.879
746,Image_14119-3.tif,26.026,22.32,0.656,8.61,746,590,54.782,5.457,1.694,0.59,0.828
747,Image_14119-3.tif,19.862,17.054,0.858,6.672,539,574,150.255,4.138,1.467,0.682,0.943
748,Image_14119-3.tif,26.369,19.737,0.851,6.672,175,590,60.255,5.993,1.049,0.954,0.893
749,Image_14119-3.tif,57.874,42.383,0.405,15.26,589,578,167.471,6.932,3.026,0.33,0.712
750,Image_14119-3.tif,22.773,21.209,0.636,8.61,667,580,144.782,3.92,2.664,0.375,0.799
751,Image_14119-3.tif,37.841,26.216,0.692,9.141,19,588,174.806,6.122,1.528,0.654,0.845
752,Image_14119-3.tif,30.649,22.12,0.787,8.327,97,587,26.565,5.238,1.587,0.63,0.895
753,Image_14119-3.tif,25.684,20.464,0.771,7.367,224,578,141.843,5.367,1.334,0.75,0.888
754,Image_14119-3.tif,42.806,25.915,0.801,9.526,343,593,34.38,6.073,1.502,0.666,0.926
755,Image_14119-3.tif,14.212,17.739,0.568,6.207,408,579,143.13,4.138,1.345,0.744,0.751
756,Image_14119-3.tif,12.328,18.325,0.461,7.071,497,588,20.556,3.64,2.424,0.413,0.649
757,Image_14119-3.tif,18.663,19.353,0.626,6.151,705,584,160.346,5.05,1.075,0.93,0.784
758,Image_14119-3.tif,58.388,33.907,0.638,12.064,282,608,67.834,7.304,1.432,0.698,0.843
759,Image_14119-3.tif,20.204,17.154,0.863,6.672,373,584,150.255,4.966,1.341,0.745,0.894
760,Image_14119-3.tif,15.924,17.497,0.654,6.464,722,582,140.194,4.096,1.65,0.606,0.819
761,Image_14119-3.tif,15.239,15.984,0.75,5.749,206,583,120.256,3.664,1.687,0.593,0.856
762,Image_14119-3.tif,18.321,18.951,0.641,7.959,646,585,171.027,2.897,2.602,0.384,0.915
763,Image_14119-3.tif,39.553,28.983,0.592,12.177,247,584,99.782,4.138,3.052,0.328,0.909
764,Image_14119-3.tif,34.587,22.805,0.836,8.034,48,589,145.491,6.102,1.19,0.84,0.908
765,Image_14119-3.tif,11.472,13.743,0.763,5.395,396,586,147.529,3.581,1.605,0.623,0.822
766,Image_14119-3.tif,35.272,30.756,0.469,8.913,89,586,111.801,7.034,1.245,0.804,0.767
767,Image_14119-3.tif,12.671,16.084,0.615,7.321,184,590,132.709,2.649,2.956,0.338,0.836
768,Image_14119-3.tif,57.531,34.208,0.618,11.856,623,604,29.249,6.378,1.828,0.547,0.867
769,Image_14119-3.tif,39.382,23.875,0.868,8.151,29,593,156.038,6.443,1.264,0.791,0.907
770,Image_14119-3.tif,60.613,32.778,0.709,12.17,481,619,72.181,6.207,1.91,0.524,0.922
771,Image_14119-3.tif,22.43,20.038,0.702,7.992,561,597,158.749,4.389,1.759,0.568,0.814
772,Image_14119-3.tif,17.636,21.936,0.461,6.736,262,593,100.62,4.966,1.201,0.833,0.741
773,Image_14119-3.tif,18.321,17.497,0.752,7.047,304,593,130.236,3.979,1.873,0.534,0.863
774,Image_14119-3.tif,20.718,21.978,0.539,7.73,381,596,105.524,4.869,1.829,0.547,0.718
775,Image_14119-3.tif,29.279,21.008,0.834,7.238,420,599,149.036,6.083,1.198,0.835,0.877
776,Image_14119-3.tif,22.088,19.637,0.72,7.63,691,596,102.529,3.995,1.948,0.513,0.884
777,Image_14119-3.tif,35.272,27.587,0.582,10.995,329,622,70.201,5.75,1.89,0.529,0.769
778,Image_14119-3.tif,10.445,11.645,0.968,4.718,732,599,142.125,3.31,1.295,0.772,0.931
