 ,Label,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
664,Image_14456-1.jpg (red)-1,28.873,255,19.934,0.913,7.496,621,574,160.56,5.52,1.38,0.724,0.923
665,Image_14456-1.jpg (red)-1,20.228,255,17.784,0.804,6.574,534,588,71.565,4.407,1.36,0.736,0.863
666,Image_14456-1.jpg (red)-1,16.943,255,15.776,0.855,5.88,566,573,98.13,4.41,1.138,0.879,0.86
667,Image_14456-1.jpg (red)-1,81.258,255,36.768,0.755,13.62,59,574,102.339,7.861,1.802,0.555,0.915
668,Image_14456-1.jpg (red)-1,12.102,255,15.574,0.627,5.953,582,580,167.905,3.72,1.866,0.536,0.778
669,Image_14456-1.jpg (red)-1,72.441,255,39.868,0.573,15.021,602,576,131.634,7.792,2.164,0.462,0.836
670,Image_14456-1.jpg (red)-1,15.387,255,15.331,0.823,5.91,457,577,129.289,3.822,1.527,0.655,0.894
671,Image_14456-1.jpg (red)-1,14.523,255,14.154,0.911,5.075,402,589,55.008,4.277,1.211,0.826,0.884
672,Image_14456-1.jpg (red)-1,21.092,255,18.069,0.812,7.069,694,578,118.072,4.574,1.342,0.745,0.904
673,Image_14456-1.jpg (red)-1,15.733,255,15.818,0.79,5.953,737,579,155.225,4.158,1.253,0.798,0.879
674,Image_14456-1.jpg (red)-1,33.022,255,23.319,0.763,8.572,76,585,157.166,5.586,1.546,0.647,0.868
675,Image_14456-1.jpg (red)-1,66.735,255,32.61,0.789,11.56,215,599,37.694,8.314,1.345,0.744,0.904
676,Image_14456-1.jpg (red)-1,58.609,255,31.148,0.759,11.311,117,585,143.973,6.985,1.535,0.652,0.905
677,Image_14456-1.jpg (red)-1,91.804,255,42.345,0.643,14.905,637,583,120.141,8.704,1.907,0.524,0.868
678,Image_14456-1.jpg (red)-1,24.377,255,19.144,0.836,6.574,485,584,124.695,5.605,1.062,0.942,0.881
679,Image_14456-1.jpg (red)-1,34.924,255,24.092,0.756,9.298,568,589,10.305,5.405,1.637,0.611,0.888
680,Image_14456-1.jpg (red)-1,44.087,255,28.107,0.701,10.065,504,585,141.71,6.969,1.517,0.659,0.882
681,Image_14456-1.jpg (red)-1,61.894,255,31.106,0.804,11.349,663,584,118.443,7.056,1.505,0.665,0.906
682,Image_14456-1.jpg (red)-1,45.124,255,29.182,0.666,11.56,296,585,127.694,5.149,2.262,0.442,0.906
683,Image_14456-1.jpg (red)-1,21.092,255,17.036,0.913,6.495,189,586,140.194,4.922,1.162,0.86,0.938
684,Image_14456-1.jpg (red)-1,100.103,255,38.935,0.83,14.027,431,598,168.024,9.907,1.35,0.741,0.922
685,Image_14456-1.jpg (red)-1,20.92,255,16.75,0.937,6.333,250,591,156.801,4.906,1.33,0.752,0.917
686,Image_14456-1.jpg (red)-1,67.427,255,34.189,0.725,12.896,371,618,69.228,7.644,1.533,0.652,0.885
687,Image_14456-1.jpg (red)-1,63.105,255,34.374,0.671,12.123,552,596,149.036,8.88,1.557,0.642,0.835
688,Image_14456-1.jpg (red)-1,26.452,255,18.901,0.931,6.574,148,591,124.695,5.405,1.127,0.887,0.939
689,Image_14456-1.jpg (red)-1,10.2,255,11.802,0.92,4.498,273,593,146.31,3.528,1.3,0.769,0.894
690,Image_14456-1.jpg (red)-1,21.957,255,17.968,0.855,7.105,590,607,69.444,4.158,1.623,0.616,0.914
691,Image_14456-1.jpg (red)-1,21.265,255,18.657,0.768,7.356,748,592,132.709,4.18,1.883,0.531,0.872
692,Image_14456-1.jpg (red)-1,10.028,255,11.601,0.936,4.498,106,592,123.69,2.911,1.303,0.767,0.959
